locality,Price,Type_property,Sale_type,Number_bedrooms,Living_area,fully_equipped_kitchen,Furnished,terrace,garden,surface_land,surface_area_plot,facades_number,Swimming_pool,building_state,fire_place
duffel,585000,house,for-sale,5,243,1,0,None,None,243,665,3,None,Good,None
bouwel,599000,villa,for-sale,6,276,1,1,None,None,276,666,4,None,Good,1
forest,615000,house,for-sale,4,299,1,0,None,None,299,850,4,1,As new,None
merksplas,619000,house,for-sale,4,360,1,0,None,1650,360,2659,4,None,Good,None
willebroek,625000,house,for-sale,6,264,1,0,None,None,264,125,2,None,To be done up,None
heist-op-den-berg,649000,villa,for-sale,4,354,1,0,38,None,354,4770,4,1,Good,1
puurs-sint-amands,745000,house,for-sale,6,344,0,0,None,None,344,8513,4,None,To renovate,None
vorselaar,749000,villa,for-sale,4,353,1,0,2,None,353,1063,4,None,As new,1
mechelen,749000,house,for-sale,5,275,1,0,40,None,275,405,2,None,Good,1
onze-lieve-vrouw-waver,880000,house,for-sale,5,323,1,0,None,None,323,3876,4,None,Good,None
brasschaat,949000,villa,for-sale,4,332,1,0,None,None,332,1253,4,None,Good,1
lille,610000,apartment,for-sale,3,126,1,1,37,None,126,None,3,None,None,1
borsbeek,165000,apartment,for-sale,2,86,1,0,None,None,86,None,3,None,Good,None
antwerp,169000,flat-studio,for-sale,1,39,1,None,None,None,39,None,None,0,Just renovated,None
hoboken,180000,ground-floor,for-sale,2,87,None,0,None,35,87,None,3,None,To renovate,None
antwerp,199000,ground-floor,for-sale,1,85,1,0,None,None,85,None,2,None,Just renovated,None
putte,210000,apartment,for-sale,2,89,None,0,None,None,89,None,2,None,None,None
deurne,212000,apartment,for-sale,2,115,1,0,None,None,115,None,2,None,Good,None
antwerp,215000,house,for-sale,2,100,None,0,None,16,100,72,2,None,To renovate,None
merksem,225000,apartment,for-sale,3,100,1,0,7,None,100,None,4,0,Good,None
mechelen,225000,apartment,for-sale,,None,None,None,None,None,,None,None,None,None,None
tisselt,330000,apartment,for-sale,2,83,1,0,16,None,83,None,2,None,None,None
tisselt,335000,apartment,for-sale,2,84,1,0,16,None,84,None,3,None,None,None
tisselt,365000,loft,for-sale,2,89,1,0,18,None,89,None,3,None,None,None
kontich,430000,apartment,for-sale,2,105,1,0,None,50,105,None,None,None,Good,None
mechelen,519000,house,for-sale,5,255,1,0,43,None,255,140,2,None,None,None
antwerpen,895000,apartment,for-sale,3,200,1,0,None,None,200,None,2,None,As new,None
antwerpen,1225000,penthouse,for-sale,2,201,1,0,18,None,201,None,2,1,Good,1
willebroek,277000,house,for-sale,4,130,0,0,None,229,130,363,2,None,To renovate,None
hoboken,349000,house,for-sale,4,96,1,0,None,None,96,62,2,None,Just renovated,None
schelle,379000,house,for-sale,4,165,1,None,None,52,165,200,None,0,As new,None
berchem,399000,house,for-sale,3,119,1,0,None,160,119,202,2,None,Just renovated,None
hoboken,399000,house,for-sale,3,150,1,0,None,200,150,390,3,None,Good,None
mol,679000,villa,for-sale,4,218,1,0,None,2382,218,4480,4,None,Good,None
antwerpen,695000,loft,for-sale,2,220,1,0,None,150,220,None,2,None,Just renovated,None
antwerp,249500,house,for-sale,3,117,None,0,None,28,117,99,2,None,To be done up,None
mechelen,297000,house,for-sale,2,126,1,0,None,None,126,60,2,None,None,None
mortsel,298000,house,for-sale,3,213,1,0,None,None,213,150,2,None,To be done up,None
sint-katelijne-waver,325000,house,for-sale,4,144,1,0,None,None,144,1970,3,None,To renovate,None
hoboken,329900,house,for-sale,4,244,None,0,None,45,244,165,2,None,Good,None
hoboken,389000,town-house,for-sale,3,156,1,0,25,70,156,148,2,None,As new,None
schoten,390000,house,for-sale,3,185,1,0,38,160,185,260,3,None,Good,None
deurne,399000,house,for-sale,4,175,1,0,None,None,175,100,2,None,Good,None
rumst,435000,town-house,for-sale,3,163,1,0,None,None,163,245,2,None,None,None
willebroek,460000,mixed-use-building,for-sale,3,145,1,0,44,50,145,243,2,None,None,None
willebroek,460000,mansion,for-sale,3,145,1,0,44,50,145,243,2,None,None,None
sint-katelijne-waver,498000,house,for-sale,3,157,1,0,12,380,157,570,3,None,Just renovated,None
kasterlee,539000,house,for-sale,4,197,1,0,None,None,197,537,4,None,Good,None
sint-job-in-t-goor,549000,house,for-sale,3,115,1,0,25,1745,115,1889,4,None,Good,1
puurs,619000,house,for-sale,4,213,1,None,80,600,213,970,4,0,Good,1
zoersel,669000,house,for-sale,4,270,1,1,None,None,270,2339,4,None,Good,1
herentals,698000,villa,for-sale,3,332,1,0,None,None,332,1090,4,None,Good,1
dessel,788000,house,for-sale,4,234,1,0,None,None,234,3216,4,1,Good,1
gierle,845000,house,for-sale,8,375,1,0,None,None,375,1186,4,None,As new,None
zwijndrecht,879000,mixed-use-building,for-sale,4,188,1,0,None,None,188,940,4,1,Good,1
antwerpen,879000,house,for-sale,4,285,1,0,17,40,285,107,2,None,Just renovated,2
schilde,1650000,villa,for-sale,5,367,1,0,None,None,367,3992,4,None,Good,1
bonheiden,770000,house,for-sale,5,303,1,0,None,None,303,1995,4,None,As new,None
olen,350000,house,for-sale,3,176,1,0,14,None,176,269,2,None,None,None
puurs-sint-amands,498000,house,for-sale,5,257,1,0,70,70,257,330,3,0,As new,1
forest,165000,apartment,for-sale,1,83,1,0,None,None,83,None,None,None,None,None
duffel,210000,duplex,for-sale,1,90,None,0,18,None,90,None,3,None,None,None
antwerp,215000,apartment,for-sale,None,None,1,0,None,None,None,None,2,None,Just renovated,None
wommelgem,215000,apartment,for-sale,2,90,1,0,4,None,90,None,None,None,Good,None
zwijndrecht,239000,apartment,for-sale,1,80,1,0,None,None,80,None,None,None,Good,None
hoboken,239000,penthouse,for-sale,,None,None,None,None,None,,None,None,None,None,None
linkeroever,245000,apartment,for-sale,2,100,1,0,None,None,100,None,None,0,Good,None
zwijndrecht,275000,apartment,for-sale,2,91,1,0,None,None,91,None,None,None,Good,None
antwerp,285000,duplex,for-sale,2,90,1,0,15,None,90,None,None,None,As new,None
wilrijk,289500,apartment,for-sale,3,140,1,0,None,None,140,None,3,None,As new,None
antwerp,299500,apartment,for-sale,2,89,1,0,None,None,89,None,2,None,None,None
wommelgem,319000,penthouse,for-sale,2,101,1,0,43,None,101,None,2,None,None,None
berchem,319000,apartment,for-sale,4,155,1,0,None,None,155,None,None,0,Good,None
koningshooikt,325000,apartment,for-sale,2,93,1,0,None,None,93,None,None,None,None,None
antwerp,329500,apartment,for-sale,2,89,1,0,8,None,89,None,2,None,None,None
boechout,434000,apartment,for-sale,3,146,1,0,20,None,146,None,None,None,As new,None
mechelen,474000,duplex,for-sale,2,230,1,0,32,None,230,None,3,None,As new,1
antwerp,564000,apartment,for-sale,2,97,1,None,36,None,97,None,2,0,Good,None
duffel,598000,apartment,for-sale,5,247,None,0,None,None,247,None,2,None,Good,None
lint,400000,house,for-sale,4,350,0,0,None,None,350,772,2,None,To renovate,None
niel,375000,town-house,for-sale,3,181,1,0,17,167,181,244,2,None,Good,None
merksem,385000,house,for-sale,4,416,1,0,None,None,416,266,2,None,Good,None
hoboken,394500,house,for-sale,4,184,None,0,None,50,184,130,None,None,As new,None
zoersel,485000,house,for-sale,3,244,1,0,19,1128,244,1406,4,None,To be done up,None
mechelen,689000,villa,for-sale,5,424,1,0,37,2577,424,3126,4,None,Good,None
antwerp,950000,house,for-sale,5,285,1,0,None,1275,285,1590,4,1,As new,None
antwerpen,1990000,apartment-block,for-sale,13,620,1,1,110,None,620,300,3,0,As new,None
duffel,248000,house,for-sale,3,125,None,0,None,80,125,150,2,None,To be done up,None
beerse,795000,villa,for-sale,4,451,1,0,None,None,451,2641,4,None,Good,1
herselt,224750,apartment,for-sale,1,74,None,None,15,None,74,None,2,0,As new,None
boom,225000,apartment,for-sale,2,90,1,0,None,None,90,None,2,None,Good,None
hoboken,259000,ground-floor,for-sale,2,85,1,0,None,None,85,None,2,None,As new,None
wilrijk,299900,duplex,for-sale,2,130,1,0,9,96,130,None,2,None,As new,None
antwerp,950000,apartment,for-sale,2,180,1,0,48,None,180,None,4,0,As new,None
antwerp,2895000,penthouse,for-sale,4,394,None,0,None,352,394,None,2,0,As new,None
deurne,187000,apartment,for-sale,2,90,1,0,3,None,90,None,2,None,Good,None
lier,244000,apartment,for-sale,2,90,1,0,10,None,90,None,2,None,None,None
lier,244000,apartment,for-sale,2,90,1,0,10,None,90,None,2,None,None,None
geel,339000,penthouse,for-sale,3,130,1,0,49,None,130,None,4,None,None,None
lier,365000,penthouse,for-sale,2,126,1,0,34,None,126,None,2,None,None,None
lier,365000,apartment,for-sale,2,126,1,0,34,None,126,None,2,None,None,None
